start,end,duration
2017-09-22 01:30:00,2017-09-22 05:05:00,0 days 03:35:00
2017-09-22 05:10:00,2017-09-22 12:05:00,0 days 06:55:00
2017-09-22 12:30:00,2017-09-22 19:00:00,0 days 06:30:00
2017-09-22 19:10:00,2017-09-22 19:40:00,0 days 00:30:00
2017-09-22 19:45:00,2017-09-22 20:00:00,0 days 00:15:00
2017-09-22 20:10:00,2017-09-23 11:00:00,0 days 14:50:00
2017-09-23 11:05:00,2017-09-23 11:20:00,0 days 00:15:00
2017-09-23 11:35:00,2017-09-23 11:45:00,0 days 00:10:00
2017-09-23 12:00:00,2017-09-23 12:05:00,0 days 00:05:00
2017-09-23 12:20:00,2017-09-23 12:25:00,0 days 00:05:00
2017-09-23 12:30:00,2017-09-23 12:35:00,0 days 00:05:00
2017-09-23 12:40:00,2017-09-23 12:45:00,0 days 00:05:00
2017-09-23 13:15:00,2017-09-23 13:20:00,0 days 00:05:00
2017-09-23 15:20:00,2017-09-23 15:25:00,0 days 00:05:00
2017-09-23 15:45:00,2017-09-23 15:55:00,0 days 00:10:00
2017-09-23 16:15:00,2017-09-23 16:35:00,0 days 00:20:00
2017-09-23 17:00:00,2017-09-23 17:25:00,0 days 00:25:00
2017-09-23 17:35:00,2017-09-23 17:40:00,0 days 00:05:00
2017-09-23 18:00:00,2017-09-23 18:50:00,0 days 00:50:00
2017-09-23 18:55:00,2017-09-24 09:50:00,0 days 14:55:00
2017-09-24 09:55:00,2017-09-24 10:30:00,0 days 00:35:00
2017-09-24 10:35:00,2017-09-24 11:25:00,0 days 00:50:00
2017-09-24 11:30:00,2017-09-24 11:45:00,0 days 00:15:00
2017-09-24 11:50:00,2017-09-24 12:00:00,0 days 00:10:00
2017-09-24 12:25:00,2017-09-24 12:30:00,0 days 00:05:00
2017-09-24 12:45:00,2017-09-24 12:50:00,0 days 00:05:00
2017-09-24 13:05:00,2017-09-24 13:10:00,0 days 00:05:00
2017-09-24 17:10:00,2017-09-24 17:20:00,0 days 00:10:00
2017-09-24 17:35:00,2017-09-24 17:50:00,0 days 00:15:00
2017-09-24 17:55:00,2017-09-24 18:15:00,0 days 00:20:00
2017-09-24 19:15:00,2017-09-25 00:30:00,0 days 05:15:00
2017-09-25 00:35:00,2017-09-25 11:35:00,0 days 11:00:00
2017-09-25 11:40:00,2017-09-25 13:15:00,0 days 01:35:00
2017-09-25 13:30:00,2017-09-25 13:55:00,0 days 00:25:00
2017-09-25 14:00:00,2017-09-25 14:35:00,0 days 00:35:00
2017-09-25 15:35:00,2017-09-25 15:45:00,0 days 00:10:00
2017-09-25 15:55:00,2017-09-25 16:10:00,0 days 00:15:00
2017-09-25 16:20:00,2017-09-25 16:35:00,0 days 00:15:00
2017-09-25 17:20:00,2017-09-25 17:45:00,0 days 00:25:00
2017-09-25 17:50:00,2017-09-25 19:30:00,0 days 01:40:00
2017-09-25 19:35:00,2017-09-26 13:10:00,0 days 17:35:00
2017-09-26 13:15:00,2017-09-26 13:20:00,0 days 00:05:00
2017-09-26 13:25:00,2017-09-26 14:25:00,0 days 01:00:00
2017-09-26 14:50:00,2017-09-26 14:55:00,0 days 00:05:00
2017-09-26 15:05:00,2017-09-26 15:10:00,0 days 00:05:00
2017-09-26 15:15:00,2017-09-26 15:20:00,0 days 00:05:00
2017-09-26 15:25:00,2017-09-26 15:30:00,0 days 00:05:00
2017-09-26 15:40:00,2017-09-26 15:45:00,0 days 00:05:00
2017-09-26 16:15:00,2017-09-26 16:30:00,0 days 00:15:00
2017-09-26 16:45:00,2017-09-26 22:10:00,0 days 05:25:00
2017-09-26 22:45:00,2017-09-27 01:15:00,0 days 02:30:00
2017-09-27 01:20:00,2017-09-27 13:45:00,0 days 12:25:00
2017-09-27 13:50:00,2017-09-27 13:55:00,0 days 00:05:00
2017-09-27 14:05:00,2017-09-27 14:10:00,0 days 00:05:00
2017-09-27 14:30:00,2017-09-27 15:50:00,0 days 01:20:00
2017-09-27 16:05:00,2017-09-27 16:20:00,0 days 00:15:00
2017-09-27 16:25:00,2017-09-27 16:45:00,0 days 00:20:00
2017-09-27 16:50:00,2017-09-27 17:10:00,0 days 00:20:00
2017-09-27 17:15:00,2017-09-27 18:05:00,0 days 00:50:00
2017-09-27 19:05:00,2017-09-27 19:10:00,0 days 00:05:00
2017-09-27 20:00:00,2017-09-27 20:35:00,0 days 00:35:00
2017-09-27 20:50:00,2017-09-27 21:10:00,0 days 00:20:00
2017-09-27 23:20:00,2017-09-28 13:15:00,0 days 13:55:00
2017-09-28 13:40:00,2017-09-28 13:55:00,0 days 00:15:00
2017-09-28 14:00:00,2017-09-28 14:05:00,0 days 00:05:00
2017-09-28 14:10:00,2017-09-28 14:25:00,0 days 00:15:00
2017-09-28 14:30:00,2017-09-28 14:35:00,0 days 00:05:00
2017-09-28 15:35:00,2017-09-28 15:40:00,0 days 00:05:00
2017-09-28 16:40:00,2017-09-28 16:45:00,0 days 00:05:00
2017-09-28 17:00:00,2017-09-28 17:05:00,0 days 00:05:00
2017-09-28 17:20:00,2017-09-28 20:50:00,0 days 03:30:00
2017-09-28 21:00:00,2017-09-28 21:30:00,0 days 00:30:00
2017-09-28 21:40:00,2017-09-28 23:15:00,0 days 01:35:00
